employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,awards_won,avg_training_score,is_promoted
65438,Sales & Marketing,7,Master,f,sourcing,1,35,5,8,0,49,0
65141,Operations,2,Bachelor,m,other,1,30,5,4,0,60,0
7513,Sales & Marketing,8,Bachelor,m,sourcing,1,34,3,7,0,50,0
2542,Sales & Marketing,3,Bachelor,m,other,2,39,1,10,0,50,0
48945,Technology,6,Bachelor,m,other,1,45,3,2,0,73,0
58896,Analytics,2,Bachelor,m,sourcing,2,31,3,7,0,85,0
20379,Operations,2,Bachelor,f,other,1,31,3,5,0,59,0
16290,Operations,4,Master,m,sourcing,1,33,3,6,0,63,0
73202,Analytics,2,Bachelor,m,other,1,28,4,5,0,83,0
28911,Sales & Marketing,1,Master,m,sourcing,1,32,5,5,0,54,0
49017,Technology,7,Bachelor,f,sourcing,1,35,5,3,0,77,0
60051,Sales & Marketing,4,Bachelor,m,sourcing,1,49,5,18,0,98,1
38401,Sales & Marketing,2,Master,m,other,2,39,3,16,0,49,0
77040,Technology,2,Master,m,sourcing,1,37,3,7,0,80,0
43931,R&D,7,Bachelor,m,other,1,37,1,10,0,84,0
7152,Operations,2,Bachelor,m,other,1,38,3,5,0,60,0
9403,Technology,3,Bachelor,m,other,1,34,1,4,0,77,0
17436,Sales & Marketing,3,Bachelor,m,other,1,34,5,8,0,51,0
54461,Sales & Marketing,5,Bachelor,m,other,1,37,3,9,0,46,0
12067,Operations,4,Bachelor,m,other,1,35,3,7,0,59,0
58789,Procurement,1,Bachelor,f,other,1,28,3,4,0,75,0
71177,Operations,5,Bachelor,m,other,1,27,2,1,0,57,0
52057,Finance,2,Master,m,sourcing,2,39,5,7,0,63,0
26585,Procurement,2,Bachelor,m,other,1,27,5,3,0,70,0
37749,Finance,6,Bachelor,m,other,1,31,5,4,0,59,0
2370,Technology,6,Bachelor,m,other,1,33,4,4,0,83,0
8219,Procurement,5,Bachelor,m,other,1,29,5,3,0,68,0
74759,Technology,4,Bachelor,m,sourcing,1,26,3,1,0,79,0
27395,Analytics,5,Bachelor,m,sourcing,1,37,5,10,0,80,0
58536,Sales & Marketing,3,Bachelor,m,other,2,26,1,2,0,44,0
51756,Procurement,2,Bachelor,m,sourcing,2,57,4,6,0,72,0
57011,Finance,2,Bachelor,m,other,2,27,5,3,0,44,0
77064,Sales & Marketing,2,Bachelor,m,other,1,40,2,4,0,48,0
64062,Operations,8,Bachelor,m,sourcing,1,33,4,4,0,58,0
47123,Analytics,7,Bachelor,f,sourcing,1,40,5,3,0,87,0
56275,Sales & Marketing,1,Master,m,other,1,42,5,5,0,47,0
58304,Technology,8,Bachelor,m,sourcing,1,33,5,6,0,75,0
25014,Sales & Marketing,5,Bachelor,m,other,1,34,3,10,0,47,0
40097,Sales & Marketing,2,Bachelor,f,other,2,23,4,2,0,51,0
23560,Sales & Marketing,2,Bachelor,m,sourcing,1,59,5,26,0,98,1
61758,Technology,2,Bachelor,m,other,1,44,5,12,0,80,0
75009,Operations,7,Bachelor,f,sourcing,1,50,5,11,0,57,0
17876,HR,3,Master,f,other,1,37,4,4,0,52,0
36924,Sales & Marketing,6,Bachelor,m,sourcing,1,40,3,11,0,48,0
50408,Analytics,2,Bachelor,m,sourcing,1,30,3,3,0,88,0
18013,Procurement,2,Master,f,sourcing,1,56,3,12,0,71,0
24104,Procurement,2,Bachelor,m,sourcing,1,20,4,2,0,71,0
32083,Technology,5,Bachelor,f,sourcing,1,31,3,8,0,80,0
38330,Sales & Marketing,5,Bachelor,m,sourcing,1,40,3,12,0,49,0
50408,Procurement,2,Master,f,sourcing,1,56,3,12,0,73,0
18013,Finance,2,Bachelor,m,sourcing,1,20,4,2,0,60,0
24104,Sales & Marketing,5,Bachelor,f,sourcing,1,31,3,8,0,48,0
32083,Procurement,1,Bachelor,m,sourcing,1,40,3,12,0,65,0
38330,HR,2,Bachelor,m,other,1,30,1,6,0,50,0
33690,Operations,2,Bachelor,m,other,1,39,3,5,0,62,0
73161,Analytics,3,Bachelor,m,other,2,26,2,2,0,85,0
13596,Sales & Marketing,1,Bachelor,f,other,1,29,4,1,0,49,0
45709,R&D,2,Master,m,sourcing,1,40,3,5,0,84,0
32709,Sales & Marketing,6,Bachelor,m,other,2,27,5,1,0,47,0
26599,Sales & Marketing,1,Bachelor,m,other,1,40,4,7,0,52,0
32656,Sales & Marketing,4,Master,m,other,1,50,5,17,0,98,1
17673,Sales & Marketing,2,Bachelor,m,sourcing,1,25,3,3,0,53,0
3113,Analytics,8,Bachelor,f,other,1,28,1,1,0,80,0
9150,Sales & Marketing,1,Master,m,sourcing,1,35,4,2,0,52,0
14107,R&D,6,Bachelor,m,other,1,34,5,5,0,87,0
58747,Operations,3,Master,f,sourcing,1,31,3,3,0,58,0
3342,Finance,2,Bachelor,m,other,1,35,1,18,1,97,1
77981,Sales & Marketing,2,Bachelor,m,sourcing,1,35,1,15,0,97,1
16502,Procurement,1,Bachelor,m,other,1,30,4,6,0,75,0
73729,Analytics,3,Bachelor,m,other,1,30,5,18,0,97,1
45624,Operations,2,Bachelor,f,other,1,50,5,5,0,59,0
75677,Technology,2,Master,m,other,1,34,5,18,0,98,1
24040,Sales & Marketing,2,Master,f,sourcing,1,41,1,12,0,52,0
68082,Sales & Marketing,6,Bachelor,m,sourcing,1,32,4,6,0,44,0
51786,Sales & Marketing,7,Bachelor,m,other,1,50,3,14,0,52,0
77577,Sales & Marketing,2,Master,m,sourcing,1,38,5,18,0,92,1
54782,Sales & Marketing,7,Bachelor,m,sourcing,2,29,1,5,0,51,0
52368,Sales & Marketing,3,Bachelor,m,sourcing,1,35,4,3,0,53,0
75103,Analytics,2,Bachelor,m,other,1,25,3,2,0,91,0
75205,Sales & Marketing,2,Bachelor,m,sourcing,1,30,4,15,1,99,1
59147,Technology,2,Bachelor,m,other,1,47,3,7,0,79,0
53092,Operations,4,Master,m,sourcing,1,35,2,7,0,53,0
34564,Sales & Marketing,2,Bachelor,m,sourcing,2,25,3,2,0,53,0
66013,R&D,2,Bachelor,m,other,1,36,4,8,0,82,0
77135,Legal,7,Bachelor,m,other,1,30,5,18,0,97,1
44575,Operations,1,Master,f,sourcing,1,42,5,19,0,98,1
47498,HR,2,Bachelor,f,sourcing,1,28,2,6,0,52,0
20798,Sales & Marketing,2,Master,m,sourcing,1,39,1,9,0,49,0
69094,Procurement,7,Master,m,sourcing,1,32,5,18,0,97,1
22261,Sales & Marketing,3,Bachelor,f,other,1,31,3,1,0,51,0
9589,Sales & Marketing,2,Master,f,sourcing,1,20,4,1,0,55,0
62658,Analytics,2,Bachelor,m,other,1,34,3,8,0,85,0
21628,Procurement,2,Master,m,sourcing,2,46,4,3,0,74,0
68484,HR,2,Master,m,other,1,47,3,7,0,44,0
44523,Operations,2,Bachelor,f,other,1,44,4,13,0,53,0
35420,Analytics,4,Bachelor,m,sourcing,1,31,4,4,0,86,0
43923,Technology,26,Bachelor,f,sourcing,1,23,5,1,0,77,0
64109,Operations,2,Bachelor,f,sourcing,1,33,3,5,0,57,0
41983,Sales & Marketing,3,Bachelor,m,other,1,41,3,12,0,52,0
51256,Finance,2,Master,m,other,1,60,5,17,0,59,0
66635,Operations,5,Bachelor,m,other,1,40,5,18,0,97,1
16027,Operations,6,Bachelor,f,other,1,37,3,11,0,57,0
46020,Analytics,7,Bachelor,m,sourcing,2,39,3,4,0,83,0
28509,Sales & Marketing,7,Bachelor,m,other,1,40,5,8,0,54,0
33587,Sales & Marketing,8,Master,m,sourcing,1,42,5,4,0,50,0
21387,Operations,3,Bachelor,m,other,1,35,5,15,0,97,1
55927,Operations,3,Master,f,sourcing,1,41,4,6,0,62,0
60763,Procurement,2,Bachelor,f,other,1,23,3,2,0,73,0
53167,Sales & Marketing,6,Bachelor,m,sourcing,2,31,3,4,0,50,0
32672,Analytics,2,Master,m,other,1,42,2,19,0,79,0
48785,Sales & Marketing,2,Bachelor,m,other,3,29,4,2,0,49,0
51444,HR,3,Bachelor,f,other,1,30,3,1,0,54,0
75778,Operations,2,Bachelor,m,sourcing,1,41,4,6,0,63,0
14141,Sales & Marketing,7,Bachelor,f,other,1,40,5,15,0,96,1
17894,Sales & Marketing,2,Bachelor,m,sourcing,1,34,5,5,0,49,0
54380,Sales & Marketing,4,Bachelor,f,other,1,31,4,2,0,46,0
51892,Technology,2,Bachelor,m,other,1,30,5,16,0,95,1
3625,Procurement,2,Bachelor,m,sourcing,4,30,3,2,0,72,0
38771,Procurement,3,Bachelor,f,other,1,27,4,18,0,97,1
18959,Technology,5,Bachelor,m,other,4,36,4,7,0,82,0
21137,Technology,2,Bachelor,m,sourcing,1,35,4,6,0,77,0
26097,Sales & Marketing,5,Master,m,other,1,34,5,15,0,97,1
38052,Procurement,4,Master,m,sourcing,1,37,5,18,1,97,1
41746,Operations,2,Bachelor,f,sourcing,1,27,3,1,0,58,0
72744,Procurement,2,Master,m,sourcing,2,47,3,5,0,71,0
5461,Analytics,8,Bachelor,m,other,1,28,4,1,0,83,0
15227,Procurement,7,Master,f,other,1,40,5,5,0,68,0
66874,Sales & Marketing,7,Bachelor,f,other,1,30,3,1,0,50,0
42068,Operations,1,Master,m,other,1,38,5,9,0,48,0
54825,Sales & Marketing,5,Bachelor,m,other,1,30,3,2,0,47,0
77709,Sales & Marketing,1,Bachelor,f,sourcing,1,28,5,3,0,46,0
43712,Procurement,2,Bachelor,m,sourcing,2,28,5,4,0,67,0
74783,Operations,9,Bachelor,m,sourcing,1,35,4,7,0,58,0
19318,Analytics,2,Bachelor,m,other,1,38,5,16,0,97,1
12096,Sales & Marketing,6,Master,m,sourcing,1,36,5,8,0,50,0
5102,Operations,7,Bachelor,m,sourcing,1,24,3,1,0,56,0
29521,Technology,5,Bachelor,m,other,1,27,3,4,0,78,0
36371,Finance,8,Master,m,other,2,34,3,7,0,56,0
51164,Technology,4,Bachelor,f,other,1,31,4,4,1,78,0
17812,Technology,7,Bachelor,f,sourcing,1,30,4,2,0,77,0
7606,Technology,2,Bachelor,f,other,2,30,3,7,1,76,0
50593,Finance,3,Bachelor,m,sourcing,1,31,3,1,0,56,0
73735,Analytics,5,Bachelor,m,other,1,30,5,3,0,84,0
29313,Finance,2,Bachelor,m,sourcing,1,28,3,2,0,57,0
40262,Technology,2,Bachelor,m,other,2,28,3,5,0,81,0
36904,Sales & Marketing,5,Bachelor,m,other,1,29,3,2,0,51,0
62552,Sales & Marketing,2,Master,m,sourcing,1,46,3,11,0,51,0
63285,Technology,9,Bachelor,m,sourcing,1,31,5,4,0,80,0
74203,Procurement,5,Bachelor,m,sourcing,1,28,1,4,0,72,0
51256,Finance,2,Master,m,other,1,60,5,17,0,59,0
66635,Operations,5,Bachelor,m,other,1,40,5,18,0,97,1
16027,Operations,6,Bachelor,f,other,1,37,3,11,0,57,0
46020,Analytics,7,Bachelor,m,sourcing,2,39,3,4,0,83,0
28509,Sales & Marketing,7,Bachelor,m,other,1,40,5,8,0,54,0
33587,Sales & Marketing,8,Master,m,sourcing,1,42,5,4,0,50,0
21387,Operations,3,Bachelor,m,other,1,35,5,15,0,97,1
55927,Operations,3,Master,f,sourcing,1,41,4,6,0,62,0
60763,Procurement,2,Bachelor,f,other,1,23,3,2,0,73,0
53167,Sales & Marketing,6,Bachelor,m,sourcing,2,31,3,4,0,50,0
32672,Analytics,2,Master,m,other,1,42,2,19,0,79,0
48785,Sales & Marketing,2,Bachelor,m,other,3,29,4,2,0,49,0
51444,HR,3,Bachelor,f,other,1,30,3,1,0,54,0
75778,Operations,2,Bachelor,m,sourcing,1,41,4,6,0,63,0
14141,Sales & Marketing,7,Bachelor,f,other,1,40,5,15,0,96,1
17894,Sales & Marketing,2,Bachelor,m,sourcing,1,34,5,5,0,49,0
54380,Sales & Marketing,4,Bachelor,f,other,1,31,4,2,0,46,0
51892,Technology,2,Bachelor,m,other,1,30,5,16,0,95,1
3625,Procurement,2,Bachelor,m,sourcing,4,30,3,2,0,72,0
38771,Procurement,3,Bachelor,f,other,1,27,4,18,0,97,1
18959,Technology,5,Bachelor,m,other,4,36,4,7,0,82,0
21137,Technology,2,Bachelor,m,sourcing,1,35,4,6,0,77,0
26097,Sales & Marketing,5,Master,m,other,1,34,5,15,0,97,1
38052,Procurement,8,Master,m,sourcing,1,37,5,18,1,97,1
41746,Operations,2,Bachelor,f,sourcing,1,27,3,1,0,58,0
72744,Procurement,2,Master,m,sourcing,2,47,3,5,0,71,0
5461,Analytics,8,Bachelor,m,other,1,28,4,1,0,83,0
15227,Procurement,7,Master,f,other,1,40,5,5,0,68,0
66874,Sales & Marketing,7,Bachelor,f,other,1,30,3,1,0,50,0
42068,Operations,1,Master,m,other,1,38,5,9,0,48,0
54825,Sales & Marketing,5,Bachelor,m,other,1,30,3,2,0,47,0
77709,Sales & Marketing,1,Bachelor,f,sourcing,1,28,5,3,0,46,0
43712,Procurement,2,Bachelor,m,sourcing,2,28,5,4,0,67,0
74783,Operations,2,Bachelor,m,sourcing,1,35,4,7,0,58,0
19318,Analytics,2,Bachelor,m,other,1,38,5,16,0,97,1
12096,Sales & Marketing,6,Master,m,sourcing,1,36,5,8,0,50,0
5102,Operations,7,Bachelor,m,sourcing,1,24,3,1,0,56,0
29521,Technology,5,Bachelor,m,other,1,27,3,4,0,78,0
36371,Finance,8,Master,m,other,2,34,3,7,0,56,0
51164,Technology,4,Bachelor,f,other,1,31,4,4,1,78,0
17812,Technology,7,Bachelor,f,sourcing,1,30,4,2,0,77,0
7606,Technology,2,Bachelor,f,other,2,30,3,7,1,76,0
50593,Finance,3,Bachelor,m,sourcing,1,31,3,1,0,56,0
73735,Analytics,5,Bachelor,m,other,1,30,5,3,0,84,0
29313,Finance,2,Bachelor,m,sourcing,1,28,3,2,0,57,0
40262,Technology,2,Bachelor,m,other,2,28,3,5,0,81,0
36904,Sales & Marketing,5,Bachelor,m,other,1,29,3,2,0,51,0
62552,Sales & Marketing,2,Master,m,sourcing,1,46,3,11,0,51,0
63285,Technology,2,Bachelor,m,sourcing,1,31,5,4,0,80,0
74203,Procurement,5,Bachelor,m,sourcing,1,28,1,4,0,72,0
